Question_ID,Lesson_Number
1,"Week 1, Lessons 1, 2, 3, 4"
2,"Week 1, Lessons 1, 2, 3, 4"
3,"Week 2, Lessons 1, 2, 3, 4; Week 3, Lessons 1, 2, 3, 4"
4,"Week 2, Lessons 1, 2, 3, 4; Week 3, Lessons 1, 2, 3, 4"
5,"Week 4, Lessons 1, 2, 3, 4; Week 5, Lessons 1, 2, 3, 4; Week 6, Lesson 1"
6,"Week 4, Lessons 1, 2, 3, 4; Week 5, Lessons 1, 2, 3, 4; Week 6, Lesson 1"
7,"Week 4, Lessons 1, 2, 3, 4; Week 5, Lessons 1, 2, 3, 4; Week 6, Lesson 1"
8,"Week 3, Lessons 1, 2, 3; Week 4, Lesson 1; Week 5, Lessons 1, 3; Week 6, Lessons 1, 2"
9,"Week 3, Lessons 1, 2, 3; Week 4, Lesson 1; Week 5, Lessons 1, 3; Week 6, Lessons 1, 2"
10,"Week 3, Lessons 1, 2, 3; Week 4, Lesson 1; Week 5, Lessons 1, 3; Week 6, Lessons 1, 2"
11,"Week 5, Lesson 2"
12,"Week 6, Lesson 3"
13,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 2, 3"
14,"Week 1, Lessons 1, 2, 3, 4; Week 2, Lessons 2, 3"
15,"Week 2, Lesson 4; Week 3, Lesson 4"
16,"Week 5, Lesson 4; Week 6, Lesson 4"
